donanim,fiyat
1.3 M.Jet 75 HP Pop,
1.3 M.Jet 95 HP Premio,
1.3 M.Jet 95 HP Pop,
1.3 M.Jet 95 HP Urban,
1.4 77 HP Pop,
0.9 85 HP Twinair Dualogic Lounge S1,
1.2 69 HP Pop S1,
1.3 M.Jet 95 HP Cross S1,
1.4 Fire 77 HP S&S Popstar,
1.5L TDCi 95PS (215 Nm) Titanium,
1.6L Ti-VCT 105PS (150 Nm) Titanium,
1.6L Ti-VCT 105PS (150 Nm) Trend,
1.5L EcoBoost 182PS (240 Nm) Titanium,
1.5L EcoBoost 182PS (240 Nm) Trend,
1.5L TDCi 120PS (300Nm) Titanium,
1.5L TDCi 120PS (300Nm) Trend,
1.6L TDCi  115PS (270Nm) Titanium,
1.6L TDCi  115PS (270Nm) Trend,
1.6L Ti-VCT 125PS (159 Nm) Trend,
1.5L EcoBoost 182PS (240 Nm) Titanium,
1.5L TDCi 120PS (270Nm) Titanium,
1.5L TDCi 120PS (300Nm) Titanium,
1.0L Ecoboost 100PS (170 Nm) ST Line ,82480
1.0L Ecoboost 140PS (180 Nm) ST Line ,82480
1.2L 82PS (114 Nm) Trend,
1.2L 82PS (114 Nm) Trend X,
1.4L  96PS (128 Nm) Titanium,
1.5L TDCi 75PS (185 Nm) Titanium,
1.5L TDCi 75PS (185 Nm) Trend,
1.5L TDCi 75PS (185 Nm) Trend X,
1.6L Ti-VCT  105PS (150 Nm) Titanium,
1.6L Ti-VCT  105PS (150 Nm) Trend,
1.6L Ti-VCT  105PS (150 Nm) Trend X,
1.0L EcoBoost 125PS (170 Nm) Titanium,98170
1.0L EcoBoost 125PS (170 Nm) Titanium,102880
1.5L TDCi 120PS (300 Nm) Style,
1.5L TDCi 120PS (300 Nm) Titanium,
1.5L TDCi 120PS (300 Nm) Trend X,
1.6L TDCi 115PS (270 Nm) Style,
1.6L TDCi 115PS (270 Nm) Titanium,
1.6L TDCi 95PS (230 Nm) Trend X,
1.6L Ti-VCT 125PS (159 Nm) Style,
1.6L Ti-VCT 125PS (159 Nm) Style,
1.6L Ti-VCT 125PS (159 Nm) Titanium,
1.6L Ti-VCT 125PS (159 Nm) Titanium,
1.6L Ti-VCT 125PS (159 Nm) Trend X,
1.6L Ti-VCT 125PS (159 Nm) Trend X,
1.0L EcoBoost 125PS (170 Nm) ST Line ,102640
1.0L EcoBoost 125PS (170 Nm) Titanium,98170
1.0L EcoBoost 125PS (170 Nm) Titanium,102880
1.5L TDCi 120PS (300 Nm) ST Line ,
1.5L TDCi 120PS (300 Nm) Style,
1.5L TDCi 120PS (300 Nm) Titanium,
1.5L TDCi 120PS (300 Nm) Trend X,
1.6L TDCi 115PS (270 Nm) Style,
1.6L TDCi 115PS (270 Nm) Titanium,
1.6L TDCi 95PS (230 Nm) Trend X,
1.6L Ti-VCT 125PS (159 Nm) ST Line ,
1.6L Ti-VCT 125PS (159 Nm) Style,
1.6L Ti-VCT 125PS (159 Nm) Style,
1.6L Ti-VCT 125PS (159 Nm) Titanium,
1.6L Ti-VCT 125PS (159 Nm) Titanium,
1.6L Ti-VCT 125PS (159 Nm) Trend X,
1.6L Ti-VCT 125PS (159 Nm) Trend X,
1.5L TDCi 120PS (300 Nm) Style,
1.5L TDCi 120PS (300 Nm) Titanium,
1.5L TDCi 120PS (300 Nm) Trend X,
1.6L TDCi 115PS (270 Nm) Style,
1.6L TDCi 115PS (270 Nm) Titanium,
1.6L TDCi 95PS (230 Nm) Trend X,
1.5L EcoBoost 160PS (240 Nm) Style,
2.0L TDCi 180PS (400Nm) Titanium,269415
1.5L EcoBoost 182PS (240 Nm) Style,
1.5L TDCi 120PS 120PS (270Nm) Style,
1.5L TDCi 120PS 120PS (270Nm) Titanium,
1.5L TDCi 120PS 120PS (300Nm) ST-Line,
1.5L TDCi 120PS 120PS (300Nm) Style,
1.5L TDCi 120PS 120PS (300Nm) Titanium,
1.5L EcoBoost 160PS (240 Nm) Style,
1.5L EcoBoost 160PS (240 Nm) Titanium,
1.6L TDCi 115PS (270Nm) Style,
1.6L TDCi 115PS (270Nm) Titanium,
2.0L TDCi 180PS (400Nm) Style,197635
2.0L TDCi 180PS (400Nm) Titanium,222815
1.5L EcoBoost 160PS (240 Nm) Titanium,
1.5L EcoBoost 160PS (240 Nm) Titanium,
1.5L EcoBoost 160PS (240 Nm) Style,
2.0L TDCi 180PS (400Nm) Titanium,256660
1.5L 182PS Sport,
1.5L 182PS RS,
1.6L 125PS Elegance,
1.6L 125PS Elegance,
1.6L 125PS Elegance ECO,
1.6L 125PS Elegance ECO,
1.6L 125PS Executive,
1.6L 125PS Executive ECO,
1.6L 125PS Executive ECO,
1.6L 125PS Premium,
1.6L 125PS Premium ECO,
1.6L 125PS Premium ECO,
1.6L 120PS Elegance,
1.6L 120PS Premium,
1.6L 160PS Elegance,
1.6L 160PS Executive,
1.6L 160PS Executive+,
1.6L 160PS Premium,
1.5L 130PS Elegance,
1.5L 130PS Elegance,
1.5L 130PS Executive,
1.5L 130PS Executive,
1.5L 130PS Premium,
1.6L 120PS Elegance,
1.6L 120PS Premium,
1.3L 102PS Dream,
1.3L 102PS Elegance,
1.3L 102PS Elegance,
1.3L 102PS Premium,
2.0L 310PS Sport,237496
1.4 D-CVVT MODE (BENZİNLİ),
1.4 D-CVVT MODE PLUS (BENZİNLİ),
1.4 D-CVVT MODE PLUS CVT OTM. (BENZİNLİ),
1.4 D-CVVT PRIME (BENZİNLİ),
1.4 D-CVVT PRIME CVT OTM. (BENZİNLİ),
1.6 CRDI MODE (DİZEL),
1.6 CRDI MODE DCT (DİZEL),
1.6 CRDI MODE PLUS (DİZEL),
1.6 CRDI MODE PLUS DCT (DİZEL),
1.6 CRDI PRIME (DİZEL),
1.6 CRDI PRIME DCT (DİZEL),
1.6 CRDi ELITE (DİZEL),
1.6 CRDi ELITE DCT (DİZEL),
1.6 CRDi ELITE PLUS DCT (DİZEL),
1.6 CRDi ELITE PLUS DCT (SUNROOF) (DİZEL),
1.6 D-CVVT STYLE (BENZİNLİ),
1.6 D-CVVT STYLE OTM. (BENZİNLİ),
1.0 D-CVVT JUMP (BENZİNLİ),46200
1.0 D-CVVT JUMP OTM. (BENZİNLİ),51400
1.0 D-CVVT STYLE OTM. (BENZİNLİ),54400
1.2 D-CVVT ELITE OTM. (BENZİNLİ),
1.2 D-CVVT STAR OTM. (BENZİNLİ),
1.0 T-GDI STAR (BENZİNLİ) ,67900
1.2 MPI ELITE (BENZİNLİ),
1.2 MPI JUMP (BENZİNLİ),
1.2 MPI STYLE (BENZİNLİ),
1.4 CRDi ELITE (DİZEL),
1.4 CRDi JUMP (DİZEL),
1.4 CRDi STYLE (DİZEL),
1.4 MPI ELITE OTM. (BENZİNLİ),
1.4 MPI JUMP OTM. (BENZİNLİ),
1.4 MPI STAR OTM. (BENZİNLİ)  ,
1.4 MPI STYLE OTM. (BENZİNLİ),
1.0 T-GDI ELITE (BENZİNLİ),68400
1.4 MPI ELITE OTM. (BENZİNLİ),
1.4 MPI (BENZİNLİ),
1.4 MPI OTM. (BENZİNLİ),
1.4 MPI BLUE DRIVE (BENZİNLİ),
1.6 CRDi BLUE DRIVE (DİZEL),
1.6 CRDi BLUE DRIVE DCT (DİZEL),
1.6 CRDi ELITE (DİZEL),
1.6 CRDi ELITE DCT (DİZEL),
1.6 CRDi STYLE (DİZEL),
1.6 CRDi STYLE DCT (DİZEL),
1.6 CRDi STYLE DESIGN PACK DCT (DİZEL),
