,marka,model,donanim,motor,yakit,vites,fiyat,websitesi,sil1,sil2
164,Bmw,318d Sedan,2.0 150BG Prestige,2000,Dizel,Otomatik,234900.0,http://www.bmw.com.tr/,,
165,Bmw,318d Sedan,2.0 150BG Sport Plus,2000,Dizel,Otomatik,250700.0,http://www.bmw.com.tr/,,
166,Bmw,318i Sedan,1.5 136BG 40th Year Edition,1500,Benzin,Otomatik,246800.0,http://www.bmw.com.tr/,,
167,Bmw,318i Sedan,1.5 136BG Joy,1500,Benzin,Otomatik,187600.0,http://www.bmw.com.tr/,,
168,Bmw,318i Sedan,1.5 136BG Luxury Plus,1500,Benzin,Otomatik,225300.0,http://www.bmw.com.tr/,,
169,Bmw,318i Sedan,1.5 136BG M Plus,1500,Benzin,Otomatik,217000.0,http://www.bmw.com.tr/,,
170,Bmw,318i Sedan,1.5 136BG Prestige,1500,Benzin,Otomatik,204800.0,http://www.bmw.com.tr/,,
171,Bmw,318i Sedan,1.5 136BG Sport Plus,1500,Benzin,Otomatik,208100.0,http://www.bmw.com.tr/,,
172,Bmw,320d Sedan,2.0 190BG 40th Year Edition,2000,Dizel,Otomatik,322200.0,http://www.bmw.com.tr/,,
173,Bmw,320d Sedan,2.0 190BG Joy,2000,Dizel,Otomatik,232900.0,http://www.bmw.com.tr/,,
174,Bmw,320d Sedan,2.0 190BG Luxury Plus,2000,Dizel,Otomatik,293900.0,http://www.bmw.com.tr/,,
175,Bmw,320d Sedan,2.0 190BG M Plus,2000,Dizel,Otomatik,283100.0,http://www.bmw.com.tr/,,
176,Bmw,320d Sedan,2.0 190BG Prestige,2000,Dizel,Otomatik,267100.0,http://www.bmw.com.tr/,,
177,Bmw,320d Sedan,2.0 190BG Sport Plus,2000,Dizel,Otomatik,271300.0,http://www.bmw.com.tr/,,
178,Bmw,320d Gran Turismo,2.0 190BG 40th Year Edition xDrive,2000,Dizel,Otomatik,425700.0,http://www.bmw.com.tr/,,
179,Bmw,320d Gran Turismo,2.0 190BG Joy xDrive,2000,Dizel,Otomatik,312700.0,http://www.bmw.com.tr/,,
180,Bmw,320d Gran Turismo,2.0 190BG Luxury Plus xDrive,2000,Dizel,Otomatik,376800.0,http://www.bmw.com.tr/,,
181,Bmw,320d Gran Turismo,2.0 190BG M Plus xDrive,2000,Dizel,Otomatik,374900.0,http://www.bmw.com.tr/,,
182,Bmw,320d Gran Turismo,2.0 190BG Prestige xDrive,2000,Dizel,Otomatik,343800.0,http://www.bmw.com.tr/,,
183,Bmw,320d Gran Turismo,2.0 190BG Sport Plus Xdrive,2000,Dizel,Otomatik,357900.0,http://www.bmw.com.tr/,,
184,Bmw,320d Sedan,2.0 190BG 40th Year Edition,2000,Dizel,Otomatik,340500.0,http://www.bmw.com.tr/,,
185,Bmw,320d Sedan,2.0 190BG Joy xDrive,2000,Dizel,Otomatik,262800.0,http://www.bmw.com.tr/,,
186,Bmw,320d Sedan,2.0 190BG Luxury Plus xDrive,2000,Dizel,Otomatik,312300.0,http://www.bmw.com.tr/,,
187,Bmw,320d Sedan,2.0 190BG M Plus xDrive,2000,Dizel,Otomatik,301400.0,http://www.bmw.com.tr/,,
188,Bmw,320d Sedan,2.0 190BG Prestige xDrive,2000,Dizel,Otomatik,285400.0,http://www.bmw.com.tr/,,
189,Bmw,320d Sedan,2.0 190BG Sport Plus xDrive,2000,Dizel,Otomatik,289700.0,http://www.bmw.com.tr/,,
190,Bmw,418d Coupe,2.0 150BG Joy,2000,Dizel,Otomatik,283600.0,http://www.bmw.com.tr/,,
191,Bmw,418d Coupe,2.0 150BG Luxury Plus,2000,Dizel,Otomatik,322200.0,http://www.bmw.com.tr/,,
192,Bmw,418d Coupe,2.0 150BG M Plus,2000,Dizel,Otomatik,313700.0,http://www.bmw.com.tr/,,
193,Bmw,418d Coupe,2.0 150BG Prestige,2000,Dizel,Otomatik,294900.0,http://www.bmw.com.tr/,,
194,Bmw,418d Coupe,2.0 150BG Sport Plus,2000,Dizel,Otomatik,309000.0,http://www.bmw.com.tr/,,
195,Bmw,418d Coupe,2.0 150BG Ultimate M Sport,2000,Dizel,Otomatik,349500.0,http://www.bmw.com.tr/,,
196,Bmw,418d Gran Coupe,2.0 190BG Joy,2000,Dizel,Otomatik,286400.0,http://www.bmw.com.tr/,,
197,Bmw,418d Gran Coupe,2.0 190BG Luxury Plus,2000,Dizel,Otomatik,325000.0,http://www.bmw.com.tr/,,
198,Bmw,418d Gran Coupe,2.0 190BG M Plus,2000,Dizel,Otomatik,316500.0,http://www.bmw.com.tr/,,
199,Bmw,418d Gran Coupe,2.0 190BG Prestige,2000,Dizel,Otomatik,297700.0,http://www.bmw.com.tr/,,
200,Bmw,418d Gran Coupe,2.0 190BG Sport Plus,2000,Dizel,Otomatik,311800.0,http://www.bmw.com.tr/,,
201,Bmw,418d Gran Coupe,2.0 190BG Ultimate M Sport,2000,Dizel,Otomatik,352300.0,http://www.bmw.com.tr/,,
202,Bmw,418i Coupe,1.5 136BG Joy,1500,Benzin,Otomatik,215600.0,http://www.bmw.com.tr/,,
